id, height
55773, 63.200133
55908, 62.055981
55909, 60.024841
55910, 64.486014
55912, 58.420680
55917, 56.261781
55918, 58.050371
56107, 64.002182
56108, 60.986691
56109, 55.352596
56110, 69.231754
56111, 63.794889
56112, 63.682430
56113, 66.626151
56114, 63.478000
56115, 60.342954
56116, 62.739192
56117, 71.033782
56119, 59.608026
56120, 61.592100
56121, 60.815000
56157, 63.046288
56225, 38.262673
56226, 53.210805
56227, 63.659715
56228, 63.511238
56229, 62.714031
56230, 44.567979
56367, 69.396429
56429, 73.447441
56430, 62.965566
56431, 65.441131
56432, 62.268269
56433, 65.494723
56434, 55.963333
56481, 60.252899
56491, 63.720576
56492, 60.108607
56493, 67.699670
56494, 72.695915
56648, 51.518621
56649, 58.527185
56660, 60.954030
56661, 70.257841
56662, 51.740272
56663, 60.906910
57104, 60.679815
58251, 61.771769
58252, 61.593746
58280, 58.085256
58281, 56.674670
58404, 56.517236
58405, 48.430718
58406, 49.076741
58407, 47.171042
58408, 49.237647
58409, 48.777007
58410, 52.794389
58411, 47.446264
58412, 55.765245
58413, 49.220000
58414, 44.116000
58415, 45.947353
58420, 56.595296
58421, 65.331705
58422, 70.323889
58423, 61.088138
58424, 62.226384
58691, 67.970650
58710, 66.912545
58728, 65.516691
58729, 65.898463
58730, 63.190543
58731, 75.747954
58732, 58.698361
58733, 58.405128
58734, 69.051496
58735, 65.138022
58736, 67.205959
58739, 51.357949
58740, 55.257667
58929, 60.202740
58930, 61.978991
58931, 64.798605
59032, 58.243814
59033, 70.462279
59034, 56.711349
59035, 57.055593
59037, 49.378548
59038, 59.174438
59039, 71.595776
59040, 53.522924
59041, 52.700130
59042, 57.764800
59043, 60.572872
59044, 61.125315
59045, 58.998062
59046, 51.943809
59047, 52.285000
59048, 51.878526
59281, 59.652110
59433, 61.946484
59434, 62.545798
59435, 53.988691
59438, 52.542679
59439, 54.987069
59522, 48.467551
59523, 58.292610
59524, 54.523884
59525, 56.773086
59526, 46.297692
59527, 52.084019
59528, 59.470982
59529, 46.694500
59530, 49.485385
59531, 51.155740
59532, 54.929538
59533, 53.429854
59534, 58.353155
59564, 56.612593
59565, 47.462778
59566, 48.000471
59567, 48.561085
59568, 59.079393
59570, 52.821761
59571, 50.421235
59572, 47.850980
59573, 45.761667
59574, 66.956109
59575, 53.833426
59576, 56.018987
59578, 52.278736
59579, 56.020800
59580, 50.456648
59581, 54.168209
59582, 48.505026
59583, 48.329286
59584, 54.528762
59585, 57.400530
59586, 45.955172
59587, 49.255426
59588, 47.866778
59589, 50.246645
59590, 50.215649
59595, 62.033159
59596, 51.669333
59597, 47.568236
59598, 59.826484
59599, 57.956056
59600, 48.129167
59601, 61.135278
59602, 47.988571
59603, 48.350330
59604, 45.707500
59605, 47.958800
59606, 45.507000
59607, 60.147393
59608, 47.501429
59609, 45.577000
59610, 59.727979
59611, 49.102727
59612, 61.582498
59613, 56.321014
59614, 46.961449
59615, 47.361807
59616, 56.258319
59617, 54.301250
59618, 54.318636
59619, 55.006471
59620, 59.516849
59621, 56.787314
59623, 57.315502
59624, 51.884180
59625, 50.903243
59626, 51.042158
59627, 53.269464
59628, 55.125078
59629, 50.451542
59630, 61.020768
59631, 52.842320
59632, 60.512521
59633, 49.916316
59634, 52.408929
