b1,b2,status,loss,status_downscale,loss_downscale, status_srtm, loss_srtm
81528,81494,0,0.000000,0,0.000000,1,84.218901
81471,81555,1,92.448751,1,92.448751,1,84.287494
82250,81878,0,0.000000,0,0.000000,3,96.070193
81528,81801,0,0.000000,0,0.000000,1,94.205812
81591,81654,0,0.000000,0,0.000000,1,86.306207
81741,90699,0,0.000000,0,0.000000,1,96.901392
82182,78312,0,0.000000,0,0.000000,3,106.755478
82297,78683,0,0.000000,0,0.000000,0,0.000000
78395,81951,0,0.000000,0,0.000000,1,104.681745
78689,81558,0,0.000000,0,0.000000,1,101.758950
81517,81299,0,0.000000,0,0.000000,3,98.218241
81471,81482,0,0.000000,0,0.000000,0,0.000000
82007,81290,0,0.000000,0,0.000000,1,103.278075
78299,81787,0,0.000000,0,0.000000,3,99.501952
81292,81389,0,0.000000,0,0.000000,0,0.000000
78373,81290,0,0.000000,0,0.000000,3,104.218106
81417,81671,0,0.000000,0,0.000000,0,0.000000
78358,78380,0,0.000000,0,0.000000,0,0.000000
81564,82428,0,0.000000,0,0.000000,3,90.174460
78365,81671,0,0.000000,0,0.000000,3,101.326293
81588,2649870,0,0.000000,0,0.000000,3,99.846542
81494,84,0,0.000000,0,0.000000,0,0.000000
81586,82296,0,0.000000,0,0.000000,1,90.489192
78373,78408,0,0.000000,0,0.000000,1,94.281599
78299,81754,0,0.000000,0,0.000000,3,99.145249
81424,78373,0,0.000000,0,0.000000,3,103.205456
81429,78312,1,92.610173,1,92.610173,1,91.962426
82007,81567,0,0.000000,0,0.000000,1,97.971277
81879,81390,0,0.000000,0,0.000000,1,98.815392
81321,81389,0,0.000000,0,0.000000,1,80.142198
81586,78304,0,0.000000,0,0.000000,0,0.000000
81424,78395,0,0.000000,0,0.000000,1,97.983812
81974,82073,0,0.000000,0,0.000000,1,94.516955
88599,81879,0,0.000000,0,0.000000,1,100.704740
78351,81323,0,0.000000,0,0.000000,1,91.292553
78312,82250,0,0.000000,0,0.000000,0,0.000000
81290,78347,0,0.000000,0,0.000000,1,99.960518
81741,82023,0,0.000000,0,0.000000,1,98.108213
81424,81417,1,85.121411,1,85.121411,1,84.127943
78330,81567,0,0.000000,0,0.000000,0,0.000000
78341,81298,0,0.000000,0,0.000000,3,95.860076
78330,78341,0,0.000000,0,0.000000,3,96.607464
81437,81471,0,0.000000,0,0.000000,0,0.000000
82428,78628,0,0.000000,0,0.000000,0,0.000000
81437,82073,0,0.000000,0,0.000000,1,103.416880
81850,81323,0,0.000000,0,0.000000,3,102.210625
81454,78304,0,0.000000,0,0.000000,1,93.036999
81424,81299,1,79.723663,1,79.723663,1,75.920243
78395,78341,0,0.000000,0,0.000000,1,88.690808
81292,81801,0,0.000000,0,0.000000,1,95.656391
78351,81878,0,0.000000,0,0.000000,1,101.969881
81567,82016,0,0.000000,0,0.000000,1,99.197769
81454,81389,0,0.000000,0,0.000000,0,0.000000
81384,81850,0,0.000000,0,0.000000,0,0.000000
78304,81801,0,0.000000,0,0.000000,1,100.022003
78434,82428,0,0.000000,0,0.000000,1,98.280240
81567,81323,0,0.000000,0,0.000000,3,99.232022
81417,81591,0,0.000000,0,0.000000,0,0.000000
82297,78312,0,0.000000,0,0.000000,3,106.652352
78330,78689,0,0.000000,0,0.000000,3,97.010601
81471,78347,0,0.000000,0,0.000000,3,105.592595
81682,82023,0,0.000000,0,0.000000,1,98.460381
81558,82250,0,0.000000,0,0.000000,1,97.056584
81620,82528,0,0.000000,0,0.000000,1,99.081583
81437,78380,0,0.000000,0,0.000000,3,98.589651
81850,88599,0,0.000000,0,0.000000,1,101.406145
82296,81685,0,0.000000,0,0.000000,1,93.675413
81558,81868,0,0.000000,0,0.000000,1,90.902493
81567,81558,0,0.000000,3,83.742095,1,74.598840
81974,81298,0,0.000000,0,0.000000,1,102.325193
78299,81507,0,0.000000,0,0.000000,0,0.000000
78373,82073,0,0.000000,0,0.000000,1,101.561231
78321,81868,0,0.000000,0,0.000000,3,99.110692
78395,81654,0,0.000000,0,0.000000,1,97.886341
78355,82073,0,0.000000,0,0.000000,0,0.000000
81787,81564,0,0.000000,0,0.000000,3,94.753365
78373,78333,0,0.000000,0,0.000000,1,88.454829
81620,81389,0,0.000000,0,0.000000,0,0.000000
81850,82073,0,0.000000,0,0.000000,3,98.006066
81384,81654,0,0.000000,0,0.000000,0,0.000000
81429,81299,0,0.000000,0,0.000000,1,83.233011
78380,81879,0,0.000000,0,0.000000,3,106.729648
78380,78287,0,0.000000,0,0.000000,3,99.361458
81454,81654,0,0.000000,0,0.000000,0,0.000000
81787,82250,0,0.000000,0,0.000000,1,97.144759
88599,81299,0,0.000000,0,0.000000,0,0.000000
81384,81588,0,0.000000,0,0.000000,0,0.000000
81787,82182,0,0.000000,0,0.000000,1,100.429890
81384,82073,0,0.000000,0,0.000000,0,0.000000
