MCS,streams,modulation,coding,channel,800 ns GI,400 ns GI
6,3,64-QAM,3/4,160,1579.5,1755
7,3,64-QAM,5/6,160,1755,1950
8,3,256-QAM,3/4,160,2106,2340
9,3,256-QAM,5/6,160,2340,2600
0,4,BPSK ,1/2 ,160,234,260
1,4,QPSK ,1/2 ,160,468,520
2,4,QPSK ,3/4 ,160,702,780
3,4,16-QAM ,1/2 ,160,936,1040
4,4,16-QAM ,3/4 ,160,1404,1560
5,4,64-QAM ,2/3 ,160,1872,2080
6,4,64-QAM ,3/4 ,160,2106,2340
7,4,64-QAM ,5/6 ,160,2340,2600
8,4,256-QAM ,3/4 ,160,2808,3120
9,4,256-QAM ,5/6,160,3120,3466.8
